title,label
how to apply sponsorship before attempting IMUCET 2025,0
"How do I complain on Swiggy? 690,,9878,,896",1
How many seats are vacant in lucknow for government polythechnic collage in round 3,0
How many seats are vacant in lucknow for government polythechnic collage in round 3,0
how many government law college in Chennai,0
How much fees of bsc non medical per year,0
How do I talk to Ixigo? 8597 -233288,1
How to get admission in LNJN college Delhi for Bsc in forensic science?,0
how i get admission in pu  and fee structure and hostal charge placement,0
how can apply for admission in your campus??,0
how to get admission in Delhi in mbbs/bds UG after neet 2024 if marks obtained 526,0
How is the CUET percentile calculated?,0
How does the normalisation process affect CUET scores?,0
How do I raise a compaint in Urban Company?.8597233288,1
How do I raise a complaint in Urban Company?.85972-33288,1
How do I claim my Ixigo refund?8597233288,1
How to complain against a Navi loan.9332692393 call 7384307265 just call,1
How to complain against a Navi loan.9332692393 Call 7384307265 Just Call How to complain against a Navi loan.9332692393 Call 7384307265 Just Call,1
How much is the per year hostal fee?,0
How to complain against a Navi loan.9332692393 Call 7384307265 Just Call gf,1
How do I raise a compaint to in Urban Company,1
How do I raise a compaint to in Urban Company 7735251281,1
How do I raise a compaint to in Urban Company 7735251281 call now,1
How can I Complain to meesho 7735251281,1
How can I Complain on meesho 7735251281 call me,1
How Can I Complain on meesho h,1
How do I raise a complaint on PhonePe,1
How do I raise a complaint on PhonePe?,1
How do I raise a complaint on Phonepe? 7735251281,1
How do I complain on Swiggy? 06909.878896,1
How do I complain on Swiggy?6909878896,1
How do I raise a complaint on PhonePe?,1
How do I track my Ekart delivery boy?,1
How do I track my Ekart delivery boy,1
How do I track my Ekart delivery boy? 7735251281,1
How do I get the pdf for the Counselling predictor that I applied for and paid for already?,0
How are placements at NIFT Bangalore?,0
How big is NIFT Mumbai campus?,0
How does MCE Kottayam support student placements at MCE Kottayam?,0
How can prospective students apply for admission to MCE Kottayam?,0
How are the cutoffs determined for admission to MCE Kottayam?,0
How can I apply for B.Tech programmes at MCE Kottayam?,0
How do I apply for the MBA programmes at MCE Kottayam?,0
How are seats allotted for various programmes at MCE Kottayam?,0
How does MCE Kottayam prepare students for placements?,0
How are candidates shortlisted during the placement process at MCE Kottayam?,0
How can I become a lab technician?,0
How many years is a lab course?,0
How do I track my Ekart delivery boy?,1
How do I track my Ekart delivery boy? 7735251281,1
How do I track my Ekart delivery boy 7735251281,1
How can I become a radiologist after 12th?,0
How to complain against a Navi loan 7463-841-470,1
How do I complain to UrbanClap 7.9.0.3.8.9.7.5.7.5 just,1
how to complain against a navi loan 9831-198-591k,1
How is the CUET percentile calculated?,0
How does the normalisation process affect CUET scores?,0
How do I complain on Swiggy 9163361702,1
How many MIC College of Technology courses are offered?,0
How are the  Devineni Venkata Ramana and Dr Hima Sekhar MIC College of Technology admission to MBA and MCA programmes done?,0
How are the Devineni Venkata Ramana and Dr Hima Sekhar MIC College of Technology admission to courses offered?,0
How were the MIC College of Technology Placements in 2022?,0
how do I raise a complaint in Urban Company 7.0.0.3.5.6.3.4.6.7,1
How do I complain on Swiggy 7.9.8.0.5.6.8.9.2.5,1
How many ITI colleges are there in Jharkhand?,0
How many years is MBBS?,0
How can I apply for admission to MTIET?,0
How can I find out the specific cutoff for my desired course at MTIET?,0
How can I apply to MTIET for the 2024 academic year?,0
How are job offers made to students at MTIET?,0
How to complain against a Navi loan 7463-8414-70,1
How to raise a complaint in Urban Company 798-056.89.25,1
How to raise a complaint in Urban Company 798-056-89.25,1
How to raise a complaint in Urban Company7980-568+.925,1
How do I complain on Swiggy 79805-68925,1
How to raise a complaint in Urban Company 70035=63467,1
How can I apply for SITEEE 2025?,0
How can I download the SITEEE 2025 admit card?,0
How do I raise a complaint on PhonePe 7903-89-7575,1
How can I speak to meesho Executive 70035-63467,1
How can I apply for CUSAT CAT 2025?,0
How Many Students Appeared for CUSAT CAT 2025?,0
How can I study ophthalmology?,0
How can I apply to MZCET?,0
How are cutoffs determined for different courses at MZCET?,0
How does the cutoff impact the admission process?,0
How can I apply for B.Tech programs at MZCET?,0
How are companies involved in MZCET's placement process?,0
How does MZCET support students in securing job placements?,0
How to complain against a Navi loan 7463-841-470.,1
How to complain against a Navi loan 7463-841-470-,1
How to complain against a Navi loan.7463-841-470.,1
